date,tweet
2020-10-07 16:01:00,"""What animal do you like?"" 🐒

Sir David Attenborough gets quizzed by two-year-old Prince Louis and his siblings. 
https://t.co/HpYjBqpx2A"
2020-10-06 16:01:00,"Join Jodie Whittaker, @davidwalliams, @thelizcarr and Ruth Jones as they trace their family ancestry, turning up a… https://t.co/ci5N5sIkJS"
2020-10-05 18:01:00,"The stories of ordinary people fighting for truth and justice following acts of terror.

In the Face of Terror star… https://t.co/Jt5lr4rETR"
2020-10-05 16:01:00,"""The currency that we deal in is the most valuable thing on the planet. It's human life.""

Brand new #Surgeons: At… https://t.co/zrQKGySseX"
2020-10-05 16:01:00,"""The currency that we deal in is the most valuable thing on the planet. It's human life.""

Brand new #Surgeons: At… https://t.co/zrQKGySseX"
2020-10-04 13:01:00,"@BBCiPlayer @sueperkins These are Japan’s remarkable free-diving grannies, who dive to depths of 30 feet!… https://t.co/lbGJjS1GbJ"
2020-10-03 15:01:00,"From A to ""Oh"" to Z.

#GavinAndStacey | @bbcthree

https://t.co/PjHtnwrPNV"
2020-10-02 19:01:00,"The #GrahamNorton Show is BACK!  🙌

This week's star studded line up, both in-studio and connecting remotely...

✨… https://t.co/v0DsDFxjLQ"
2020-10-02 18:31:42,"RT @BBC_TopGear: The #TopGear Ultimate Driving Mix on @BBCSounds 🎵 Listen to 15 classic driving anthems handpicked by @flintoff11, @PaddyMc…"
2020-10-02 16:01:00,This robot is smaller than the width of a hair  🤯- and scientists hope it will be used to hunt down and destroy can… https://t.co/MIWcSlXzj0
2020-10-02 12:09:42,RT @bbcpress: #ChildrenInNeed celebrates 40 fabulous years on Friday 13 November on @BBCOne: https://t.co/SEg6oCzL1p https://t.co/tD9K0XVaTi
2020-10-01 16:18:50,"RT @BBCWomansHour: ""I am not crying."" 😢 The legendary Jenni Murray @whjm signs off from Woman's Hour after 33 years. 👏

Listen to her final…"
2020-09-30 16:01:00,"A jet suit for ""flying"" paramedics is being tested by an air ambulance service in the north of England.
https://t.co/xrUVJEitkO"
2020-09-30 09:06:50,"RT @BBCSounds: Music, radio and podcasts to move you with the Power of BBC Sounds... 🎧⚡️🧡

Download the app now. https://t.co/qhDE8UhNSQ"
2020-09-29 16:01:00,Should cars have health warnings like cigarette packets? A viewpoint from author and campaigner @AndrewSimms_uk. https://t.co/3MgenRXYqs
2020-09-28 16:01:00,"Feeling stressed, agitated, overwhelmed? Here’s @DrRadha with some simple ways to avoid tipping into emotional burn… https://t.co/47eKjNZEOh"
2020-09-25 16:23:12,RT @thehitlistshow: #TheHitList fans @Arabelladaho and @jaadindaho are going head-to-head in a music knowledge challenge! It's the perfect…
2020-09-24 16:01:00,"""He absolutely adores football!"" ⚽🦙

Meet Oscar - the football-mad, pitch invading alpaca who interrupted a match i… https://t.co/duZXouUes1"
2020-09-23 16:01:00,"In this powerful and unflinching documentary, Freddie Flintoff goes on an acutely personal journey to explore the e… https://t.co/TEqTAfs6pw"
2020-09-22 23:10:05,"RT @bbcpress: WORLD EXCLUSIVE: To mark what would have been @JohnLennon’s 80th birthday, @SeanOnoLennon is in conversation with @JulianLenn…"
2020-09-22 16:01:00,"Paradise. Perversion. Sanctuary. Sin.

#BlackNarcissus, coming this December to @BBCOne and @BBCiPlayer.

https://t.co/3tc8VmHN1M"
2020-09-21 19:01:00,"#Ghosts is BACK for a brand new series! 👻🙌

8:30pm | @BBCOne &amp; @BBCiPlayer.

👉 https://t.co/NNyJpkPHqB https://t.co/DoxSNuItcY"
2020-09-19 08:50:20,RT @BBCNews: Ruth Bader Ginsburg: Supreme Court Justice dies https://t.co/WkPRyyr7iH
